Transaction,EquipmentCode,Success,GasUsed,LatencyMs,BlockNumber,TransactionHash
1,WL-10001-1787669908407-365594,1,499269,4235.193,6977,0x67d4dd085e2921fe1ed17cfeb91c5bcf72fa6750bc2fb602ae6f63b982e6732f
2,WL-10002-1787669912642-694188,1,499269,4231.599,6979,0x99c6ecfccddf61694a773757d5d9e3e8739aa577c6a72ce1302a8647bb3d7d64
3,WL-10003-1787669916874-561060,1,499269,4280.490,6982,0xa5fd819439e93fd61484a7197e69766007386aea487e6483beffbd278f8021b8
4,WL-10004-1787669921154-174113,1,499269,4199.950,6984,0xfdb1650aa7cf0502286cd211029788429379daa5eb612408411b96455f8076a6
5,WL-10005-1787669925355-163780,1,499269,4199.639,6986,0xbc5761044208e61381961986088fa82fa13b73f08cb5c756c28791fb6f7c8e66
6,WL-10006-1787669929555-207999,1,499269,4200.960,6988,0xa279d2bd3c83627060ca371b7e4d58801d18116470b553c4d4269c50cf9be04e
7,WL-10007-1787669933756-824788,1,499269,4214.340,6990,0xcc3673ebf3fb18aedc4998749ba160786f86480e14af86ab8058d97efd871067
8,WL-10008-1787669937970-970297,1,499269,4182.848,6992,0xaaa163cd9c7c6d46e18dafbcf7b9f4c6e6fb7d2ca435b05de4ebd5c521eb80be
9,WL-10009-1787669942153-312081,1,499269,4213.618,6994,0x5215b0cc5719c57dfd7dd9b15fad0389cbc6176b58479ea81aeee1b1ab096daf
10,WL-10010-1787669946367-361308,1,499269,4217.971,6996,0x6e7d6bbbfb1b072dcbe130ce411b3bba5da21cbf5f4f81d2adb24af4338b7221
11,WL-10011-1787669950585-848429,1,499269,4216.226,6998,0x83fce11a410df80cd4478c9ff9d77232c202257af8f6eb2fb7711525ec47700c
12,WL-10012-1787669954801-862864,1,499269,4300.247,7000,0x8691e0313bc9b80c42362384e23062888d74309c8d96f9e647d4f4e06bffd431
13,WL-10013-1787669959102-924321,1,499269,4246.219,7003,0xfc2567ed4f89db71ff6c2e7a524b6aa019ec44a9616545631dbc90068a6eace8
14,WL-10014-1787669963348-536622,1,499269,4186.913,7005,0x70d6c0bee51230a8dfb1ffefa5b372ec98a21eb8b4a4e10a697ac3ef317ea69c
15,WL-10015-1787669967535-164864,1,499269,4231.015,7007,0x40217d2857107b71f012ed0e291f5cb337ed004ccbb6d92d43793ca7dc113a25
16,WL-10016-1787669971766-995788,1,499269,4214.171,7009,0x25343373d20c761078b7eac8ccc1294684a5713ee867d6140d523a45530c2103
17,WL-10017-1787669975980-419060,1,499269,4216.366,7011,0xb86ccfb21d4994ad78cd00a2f6d306c87e22985d0c660dcc27fa8fe6c70495dd
18,WL-10018-1787669980196-339990,1,499269,4168.132,7013,0x04bb042a7d839f9d0a7651d79254ca4910718c20b7c2f523c7b6ae3cea9cec26
19,WL-10019-1787669984365-953647,1,499269,4204.611,7015,0x171bb38e84781f264a82a1962d3ccd8a29628af087ff7f32c1448ee60c0ff074
20,WL-10020-1787669988570-686842,1,499269,4179.208,7017,0xd0cc72970f3efe62876d0bf83f5602711c5efc77d6733f58f7d733ba202f3c32
21,WL-10021-1787669992749-701023,1,499269,5013.190,7019,0x1a6dd30812c1ae152407c8447a7b59ab50da172c786c9d5ee52303019464d7f2
22,WL-10022-1787669997763-59811,1,499242,4510.994,7021,0x01a1cad63ae1b3c21173441bcebac068e8c931eab71d4a3a6729ade048d217b5
23,WL-10023-1787670002274-516874,1,499269,4553.482,7023,0x2ff5118241d98ed51c85bf4b271fed726301cf5b1df40746ed5d17b961c77c03
24,WL-10024-1787670006827-969451,1,499269,4165.785,7025,0x79a6c012ba4b44325322ca96781ce78b93dbe542daec2a468a3fb61e78b251bf
25,WL-10025-1787670010993-142885,0,0,1790.457,,
26,WL-10026-1787670012783-709850,1,499269,9741.710,7031,0xec560680cba1ae14e6cbb6682454d78b7d7090aa6395f89bd37e7f3d1967a8d8
27,WL-10027-1787670022525-244041,1,499269,4214.619,7033,0x9a38aa9baf8e2b749d30308a2cc0971ddae317f992756f1f2e586c22c8015feb
28,WL-10028-1787670026740-858494,1,499269,4250.367,7035,0x5b3775194dc5fd5a26551b1cd85da052d781dd355be1094dfce2d77b3ce955cd
29,WL-10029-1787670030990-898916,1,499269,4534.037,7038,0x6777dd23f216850f8e70d2fd7eb44683465f67e9662f69ea91883381bf4d546c
